               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.036746,            0.035296,           0.0055328,             0.55796,             0.75512,             0.63652,             0.37025,            0.041184,            0.030321,            0.011302,            0.006733,            0.006733,            0.006733
                  68,            0.036774,            0.031491,           0.0067094,             0.67853,             0.81544,             0.72131,             0.36022,            0.043396,            0.029915,            0.010533,           0.0066835,           0.0066835,           0.0066835
                  69,            0.037596,            0.036966,           0.0054047,             0.55608,             0.75556,             0.62962,             0.36146,            0.042437,            0.030089,            0.011744,            0.006634,            0.006634,            0.006634
                  70,            0.045158,            0.034638,           0.0055625,             0.66856,             0.74796,              0.7054,             0.33035,            0.044668,            0.030684,            0.012593,           0.0065845,           0.0065845,           0.0065845
                  71,            0.041876,            0.032698,            0.004092,             0.61106,             0.74802,             0.67763,              0.3782,            0.041668,            0.031237,            0.014263,            0.006535,            0.006535,            0.006535
                  72,            0.036477,            0.036311,           0.0052318,             0.78245,             0.71915,             0.71988,             0.39485,            0.043104,            0.029161,            0.012394,           0.0064855,           0.0064855,           0.0064855
                  73,            0.034954,            0.031909,           0.0042814,             0.71483,             0.68135,             0.70139,             0.43319,            0.038343,            0.029475,            0.011439,            0.006436,            0.006436,            0.006436
                  74,            0.032818,            0.033448,           0.0047613,             0.70974,             0.71912,             0.70895,             0.39965,            0.044024,            0.029468,            0.010863,           0.0063865,           0.0063865,           0.0063865
                  75,            0.036206,            0.034165,           0.0041172,             0.69236,               0.675,             0.66721,             0.37275,            0.039532,            0.029251,            0.010453,            0.006337,            0.006337,            0.006337
                  76,             0.03768,            0.034146,           0.0041289,             0.77481,             0.71944,             0.70808,             0.38955,             0.04268,            0.029591,            0.011027,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034843,            0.032955,           0.0041298,             0.76765,             0.69508,             0.70015,              0.4313,            0.038563,             0.02928,            0.010947,            0.006238,            0.006238,            0.006238
                  78,            0.034378,            0.031519,           0.0051819,             0.83741,             0.70202,             0.71267,             0.40372,            0.043619,            0.029186,            0.011546,           0.0061885,           0.0061885,           0.0061885
                  79,            0.038742,            0.033322,           0.0048049,             0.82948,             0.71455,             0.74176,             0.44888,            0.037656,            0.030171,            0.010979,            0.006139,            0.006139,            0.006139
                  80,            0.033447,            0.032781,           0.0044144,             0.76367,             0.73947,             0.71756,             0.41916,            0.040934,            0.029396,            0.010815,           0.0060895,           0.0060895,           0.0060895
                  81,            0.034237,            0.034377,           0.0059212,             0.77367,             0.69524,             0.71835,             0.43302,            0.038284,            0.030538,            0.011486,             0.00604,             0.00604,             0.00604
                  82,            0.031403,            0.035826,            0.004514,             0.77185,             0.71735,             0.70689,             0.42594,            0.040351,            0.029929,            0.011699,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034258,            0.029649,           0.0043925,             0.83244,             0.71271,             0.71814,             0.43342,            0.040253,            0.030395,            0.012646,            0.005941,            0.005941,            0.005941
